Build Number,Correct
12ж,true
12з,true
12и,true
12л,true
12м,true
12н,true
12a,false
12b,false
13,true
13-1,true
13-10,true
13-13,true
13-15,true
13-19,true
13-2,true
13-22,true
13-4,true
"13,8",false
13.3,false
13.5,false
13.9,false
13/1,true
13/1-5,false
13/10,true
13/13,true
13/15,true
13/16,true
13/18,true
13/19,true
13/1а,false
13/2,true
13/23,true
13/2в,false
13/3,true
13/30,true
13/34,true
13/4,true
13/41,true
13/42,true
13/44,true
13/5,true
13/6,true
13/6-А,false
13/6а,false
13/7,true
13/8,true
13/9,true
13\15,false
13\16,false
13\2,false
130,true
130/132,true
130/2,true
130/20,true
130/3,true
130/4,true
130/57,true
130а,true
130б,true
130в,true
131,true
131-5,true
131-9,true
131/1,true
131/2,true
1312,false
1318,false
131а,true
131б,true
131в,true
131b,false
132,true
132/1,true
132а,true
132б,true
132в,true
132г,true
132a,false
133,true
133-7,true
133/1,true
13356,false
133а,true
133б,true
134,true
134/1,true
134/16,true
134а,true
134б,true
135,true
135/1,true
135/3,true
135/4,true
135/5,true
135/6,true
1351,false
1352,false
1353,false
1354,false
1355,false
1356,false
135а,true
135б,true
135в,true
135г,true
135д,true
135е,true
135к4,false
135a,false
136,true
136-138,true
136/1,true
136а,true
136б,true
136ж,true
137,true
137-Г,false
137а,true
137б,true
137в,true
137г,true
137ж,true
138,true
138а,true
138б,true
138в,true
138г,true
138е,true
139,true
139/1,true
139/141,true
139а,true
139б,true
139д,true
13а,true
13б,true
13б/1,true
13Бк3,false
13буд3,false
13в,true
13В5,false
13г,true
13д,true
13д3/2,false
13е,true
13ж,true
13з,true
13к,true
13корп,false
13с,true
13х,true
13a,false
13b,false
14,true
14 б/1,false
14-1,true
14-16,true
14-18,true
14-1б,false
14-20а,false
14-6,true
14-А,false
"14,16",false
14.1,false
14/1,true
14/1 Г,false
14/1-А,false
14/1-Б,false
14/11,true
14/12,true
14/13,true
14/15,true
14/16,true
14/17,true
14/18,true
14/19,true
14/1а,false
14/1б,false
14/1Б,false
14/1г,false
14/2,true
14/20Б,false
14/20в,false
14/21б,false
14/22,true
14/23,true
14/24,true
14/2а,false
14/3,true
14/3-В,false
14/3-в,false
14/3б,false
14/3Б,false
14/3В,false
14/3в,false
14/3Г,false
14/3г,false
14/4,true
14/45,true
14/4а,false
14/5,true
14/55,true
14/6,true
14/7,true
14/9,true
14\1,false
14\13,false
14\2,false
14\55,false
140,true
140/1,true
140\1,false
140а,true
140б,true
140в,true
140г,true
140a,false
141,true
141--14,false
141-1,true
141-14,true
141-15,true
141-17,true
141-4,true
141-7,true
141/1,true
1415,false
1416,false
141а,true
141б,true
142,true
142-10,true
142-11,true
142-144,true
142-15,true
142-16,true
142-17,true
142/1,true
142/2,true
142/3,true
142/4,true
142а,true
142б,true
142г,true
143,true
143/1,true
143/3,true
143/4,true
143а,true
143б,true
144,true
144/1,true
144/2,true
144/3,true
144/5,true
144/6,true
144а,true
144а-в,false
144б,true
144г,true
144д,true
144к,true
145,true
145/1,true
145а,true
145б,true
145в,true
146,true
146/1,true
146/13,true
146/2,true
146/3,true
146\2,false
1469,false
146а,true
146б,true
146в,true
146г,true
146е,true
147,true
147/1,true
147/17,true
147/2,true
147/20,true
147/5,true
147\5,false
148,true
148/1,true
148/2,true
148/3,true
148/4,true
148\1,false
1481,false
1484,false
148а,true
148б,true
148в,true
149,true
149/1,true
149/2,true
149/4,true
1492,false
1495,false
149ю,true
14а,true
14А/3,false
14б,true
14в,true
14г,true
14д,true
14е,true
14ж,true
14з,true
14к,true
14корп,false
14л,true
14м,true
14о,true
14п,true
14с,true
14у,true
14ф,true
14х,true
14ю,true
14a,false
14f,false
15,true
15-17,true
15-19,true
15-242,true
15-А/1,false
"15,2",false
15.1,false
15/1,true
15/13,true
15/14,true
15/15,true
15/16,true
15/17,true
15/19,true
15/2,true
15/20,true
15/23,true
15/232,true
15/24,true
15/25,true
15/28,true
15/29,true
15/3,true
15/31,true
15/32,true
15/4,true
15/41,true
15/45,true
15/46,true
15/5,true
15/6,true
15/7,true
15/8,true
15/9,true
15\1,false
15\12,false
15\2,false
15\23,false
15\45,false
15\8,false
150,true
150/1,true
150/15,true
150а,true
150б,true
150в,true
150г,true
150д,true
150a,false
151,true
151--19,false
151-1,true
151-10,true
151-11,true
151-12,true
151-13,true
151-14,true
151-15,true
151-16,true
151-17,true
151-18,true
151-19,true
151-2,true
151-3,true
151-4,true
151-5,true
151-6,true
151-8,true
151-9,true
151-Б,false
151/1,true
151/153,true
151/3,true
151\5,false
1512,false
1513,false
151а,true
151б,true
151Б7,false
151корп,false
152,true
152-12,true
152-15,true
152-16,true
152-17,true
152-18,true
152-19,true
152-2,true
152-3,true
152-5,true
152-7,true
152/3,true
1522,false
152а,true
152в,true
152д,true
152к1,false
152к2,false
153,true
153-А,false
153.17,false
153/1,true
153/13,true
153/17,true
153/18,true
153/19,true
153/2,true
153/2а,false
153/8,true
153\13,false
1539,false
153а,true
153д,true
154,true
154-1,true
154/1,true
154а,true
154б,true
154в,true
154a,false
155,true
155/1,true
155/4,true
155/93,true
15555,false
155а,true
156,true
156-А,false
156/1,true
156/2,true
156/4,true
1560,false
156а,true
156б,true
156a,false
157,true
157/6,true
157а,true
158,true
158/1,true
158/2,true
158/3,true
158а,true
158б,true
158корп,false
159,true
159/1,true
159/2,true
159а,true
159г,true
15а,true
15А/1,false
15а/5,true
15а/б,false
15б,true
15Б/1,false
15б/1,true
15б/2,true
15б/3,true
15Б/4,false
15б/5,true
15Б/5,false
15Б/6,false
15б1,false
15б2,false
15б3,false
15б4,false
15б5,false
15б6,false
15в,true
15г,true
15д,true
15е,true
15к,true
15к1,false
15к2,false
15к3,false
15кор3,false
15корп,false
15л,true
15мин,false
15н,true
15с,true
15сп,false
15уч,false
15ф,true
15a,false
15b,false
15k,false
16,true
16 А,false
16 к. 1,false
16 к4,false
16-1,true
16-18,true
16-5,true
16-9,true
16-а,false
16-А/3,false
"16,20",false
16/1,true
16/10,true
16/11в,false
16/12,true
16/13,true
16/14,true
16/16,true
16/18,true
16/18к3,false
16/1А,false
16/1а,false
16/2,true
16/22,true
16/23,true
16/24,true
16/25,true
16/27,true
16/28,true
16/29,true
16/2а,false
16/2А,false
16/3,true
16/33,true
16/37,true
16/39,true
16/3а,false
16/4,true
16/41,true
16/48,true
16/4а,false
16/5,true
16/50,true
16/5а,false
16/6,true
16/60,true
16/6а,false
16/6А,false
16/8,true
16/9,true
16/95,true
16/9Б,false
16/9б,false
16/а,false
16/а3,false
16/а4,false
16/а5,false
16\1,false
16\18,false
16\3,false
16\6,false
16\а2,false
160,true
160/1,true
160/32,true
160/4,true
160а,true
160б,true
160d,false
161,true
161-10,true
161-11,true
161-12,true
161-14,true
161-15,true
161-17,true
161-2,true
161-4,true
161-8,true
161/1,true
1611,false
1618,false
161а,true
161б,true
161в,true
161г,true
161a,false
162,true
162-10,true
162-13,true
162-15,true
162-16,true
162-17,true
162-18,true
162-19,true
162-2,true
162-8,true
162-9,true
162/1,true
162/2,true
162/3,true
162/4,true
162/5,true
162/6,true
1624,false
162а,true
162б,true
162в,true
162г,true
162д,true
162е,true
162ж,true
162с,true
163,true
1630,false
163а,true
164,true
164а,true
164в,true
165,true
165/1,true
165/6,true
1654651,false
165а,true
165б,true
165в,true
166,true
166а,true
166б,true
166д,true
167,true
167/2,true
167/3,true
167/4,true
167б,true
167a,false
168,true
168/1,true
168а,true
168б,true
168д,true
168е,true
168c2,false
169,true
169а,true
169б,true
16а,true
16а-1,true
16а-2,true
16а/1,true
16А/1,false
16а/2,true
16А/2,false
16а/3,true
16А/3,false
16а/4,true
16А/4,false
16а/43,true
16А/44,false
16а/45,true
16А/45,false
16а/48,true
16А/48,false
16а/5,true
16А/5,false
16а/6,true
16А/6,false
16а/7,true
16а/а,false
16а/б,false
16А\4,false
16а\4,false
16а1,false
16а1-11,false
16а1-21,false
16а1-6,false
16а1-7,false
16А2,false
16а2,false
16а2-15,false
16а2-19,false
16а2-20,false
16а3,false
16а6,false
16б,true
16в,true
16в/г,false
16ва/2,false
16г,true
16д,true
16е,true
16ж,true
16з,true
16к,true
16к1,false
16к4-2,false
16корп3,false
16л,true
16с,true
16a,false
16a/1,false
16f,false
17,true
17 а,false
17-19,true
17-21,true
17-Б,false
17.3,false
17/1,true
17/10,true
17/11,true
17/12,true
17/13,true
17/140,true
17/18,true
17/19,true
17/1а,false
17/1а-а,false
17/1а-б,false
17/1б,false
17/2,true
17/21,true
17/22,true
17/24,true
17/25,true
17/2а-а,false
17/2а-б,false
17/2а-в,false
17/2б,false
17/31,true
17/31а,false
17/31А,false
17/34,true
17/3а-а,false
17/3б,false
17/4,true
17/46,true
17/5,true
17/52,true
17/52а,false
17/56,true
17/6,true
17/63н,false
17\1,false
17\19,false
17\25,false
17\31а,false
17\6,false
170,true
170-1,true
170/1,true
170/110,true
170/112,true
170/15,true
170/165,true
170/172,true
170/19,true
170/1а,false
170/1в,false
170/1д,false
170/1е,false
170/2,true
170/320,true
170/4д,false
170/51,true
17012,false
17020,false
170а,true
170б,true
170в,true
170корп,false
170п,true
171,true
171 к2,false
171/1,true
1719,false
171а,true
171б,true
171в,true
171г,true
171д,true
171е,true
171ж,true
172,true
172/1,true
1721,false
172а,true
172б,true
173,true
173/1,true
173/187,true
173/2,true
1731,false
173а,true
174,true
174-6,true
174/3,true
174/5,true
174/6,true
174б,true
174к1,false
174корп,false
175,true
175/5,true
175а,true
176,true
176-7,true
176-9,true
176/1,true
176а,true
176б,true
176корп,false
177,true
177/2,true
177АК2,false
177б,true
177в,true
178,true
178/1,true
1781,false
178б,true
179,true
179а,true
179б,true
17а,true
17а1,false
17а4,false
17б,true
17в,true
17г,true
17д,true
17е,true
17ж,true
17к,true
17к1,false
17к2,false
17корп2,false
17м,true
17с,true
17a,false
18,true
18-2,true
18-21,true
18-26,true
18-3,true
18-5,true
18-8,true
18-9,true
18-а,false
18/1,true
18/14,true
18/15,true
18/16,true
18/19,true
18/1А,false
18/1а,false
18/1б,false
18/1г,false
18/1Г,false
18/2,true
18/20,true
18/21,true
18/241,true
18/26,true
18/29,true
18/3,true
18/30,true
18/31,true
18/4,true
18/40,true
18/4А,false
18/4а,false
18/5,true
18/6,true
18/7,true
18/8,true
18/9,true
18\1,false
18\1г,false
18\2,false
18\20,false
18\30,false
18\7,false
180,true
180-1,true
180/1,true
181,true
1810а,false
181а,true
182,true
182/2,true
1821,false
182а,true
182б,true
183,true
183а,true
184,true
184/4,true
184/7,true
184/8А,false
184А/3,false
185,true
185а,true
185б,true
186,true
186/1,true
186а,true
186б,true
187,true
187/1,true
188,true
188/10,true
188а,true
188б,true
188в,true
189,true
189/2,true
1892,false
189а,true
18а,true
18а/1,true
18б,true
18б6,false
18в,true
18г,true
18д,true
18е,true
18ж,true
18з,true
18к1,false
18п,true
18a,false
18f,false
18v,false
19,true
19-21,true
19-4,true
19-5,true
19-6,true
19-7,true
19-8,true
19–21,false
19.,false
19/1,true
19/10,true
19/11,true
19/12,true
19/13,true
19/14,true
19/14а,false
19/15,true
19/18,true
19/19,true
19/1в,false
19/2,true
19/21,true
19/21а,false
19/22,true
19/23,true
19/27,true
19/28,true
19/3,true
19/30,true
19/4,true
19/5,true
19/6,true
19/7,true
19/8,true
19/91,true
19\1,false
19\14,false
19\21,false
19\7,false
190,true
190а,true
191,true
19100,false
1915,false
191а,true
191в,true
191д,true
191м1,false
192,true
192/3,true
1925,false
1925а,false
193,true
193а,true
194,true
194а,true
194б,true
195,true
195д,true
195е,true
196,true
196/1,true
196/2,true
197,true
197а,true
197б,true
197в,true
197г,true
198,true
198б,true
199,true
1990,false
1993,false
199а,true
199в,true
19а,true
19а4,false
19б,true
19в,true
19г,true
19д,true
19ж,true
19з,true
19К1,false
19к2,false
19к4,false
19корп,false
19л,true
19о,true
19п,true
19с,true
19ч,true
19ш,true
19a,false
19b,false
19r1,false
1а,true
1а-1,true
1а/1,true
1А/1,false
1А/2,false
1а/3,true
1А/Б,false
1а1,false
1а1-13,false
1а2,false
1а2-4,false
1а2-7,false
1а47,false
1а7,false
1акорп2,false
1б,true
1Б/1,false
1б/2,true
1б/6,true
1Б/6,false
1б1,false
1б3,false
1Б6,false
1буд4,false
1буд6,false
1в,true
1в/3,true
1в/5,true
1в/9,true
1в\1,false
1г,true
1д,true
1д/2,true
1д/3,true
1д/4,true
1д/5,true
1д2с,false
1е,true
1ж,true
1з,true
1и,true
1к,true
1к/1,true
1к1,false
1к2,false
1к3,false
1К3,false
1к4,false
1к6,false
1к7,false
1комнк,false
1кор5,false
1корп1,false
1корп2,false
1корп3,false
1л,true
1м,true
1н,true
1о,true
1п,true
1п/1,true
1р,true
1с,true
1ск,false
1т,true
1т/2,true
1Т/2,false
1ф,true
1ц,true
1ч,true
1ш,true
1ю,true
1я,true
1a,false
1b,false
1e,false
2,true
2 52,false
2 К1,false
2 к2,false
2-1,true
2-10,true
2-10а,false
2-1б,false
2-1е,false
2-2,true
2-2в,false
2-2В,false
2-2a,false
2-3,true
2-36,true
2-3в,false
2-4,true
2-4/7,false
2-6,true
2-8,true
2-9,true
2-а,false
2-й пер. Куликовский,false
2-л/1,false
2-Ф/1,false
2-Ф/4,false
"2,9",false
2.30,false
2.5,false
2/1,true
2/1-А,false
2/1-Г,false
2/1-З,false
2/10,true
2/103,true
2/11,true
2/11А,false
2/12,true
2/12а,false
2/13,true
2/14,true
2/142,true
2/14б,false
2/15,true
2/16,true
2/17А,false
2/18,true
2/187ж,false
2/18а,false
2/19,true
2/19/Е,false
2/1а,false
2/1А,false
2/1б,false
2/1Б,false
2/1В,false
2/1Г,false
2/1г,false
2/1д,false
2/1Е,false
2/1е,false
2/1Є,false
2/1є,false
2/1ж,false
2/1з,false
2/1л,false
2/1a,false
2/1A,false
2/2,true
2/2-В,false
2/2-К,false
2/2-Л,false
2/20,true
2/21,true
2/22,true
2/23,true
2/234ж,false
2/24,true
2/26,true
2/27,true
2/2а,false
2/2А,false
2/2б,false
2/2Б,false
2/2В,false
2/2в,false
2/2е,false
2/2Е,false
2/2ж,false
2/2Ж,false
2/2К,false
2/2Л,false
2/2л,false
2/2a,false
2/3,true
2/30,true
2/32,true
2/32к1,false
2/32к2,false
2/32к8,false
2/34,true
2/35,true
2/37,true
2/37б,false
2/37Б,false
2/3а,false
2/3б,false
2/3в,false
2/3Д,false
2/3д,false
2/4,true
"2/4,",false
2/41ж,false
2/44,true
2/48,true
2/4Б,false
2/4б,false
2/5,true
2/512а,false
2/56,true
2/58,true
2/5б,false
2/6,true
2/7,true
2/71,true
2/7а,false
2/8,true
2/8А,false
2/8а,false
2/8б-2,false
2/8г,false
2/8Г,false
2/8д,false
2/8Е,false
2/9,true
2/а-1,false
2\1,false
2\10,false
2\14,false
2\1б,false
2\2,false
2\2д,false
2\2ж,false
2\3,false
2\30,false
2\32,false
2\32к1,false
2\34,false
2\4,false
2\6,false
2\8,false
20,true
20-22,true
20-3,true
20-4,true
20/1,true
20/1.2,false
20/11,true
20/12,true
20/12а,false
20/13,true
20/14,true
20/15,true
22к2,false
22к3,false
22к4,false
22км,false
22п,true
22a,false
23,true
23 ,false
23 дом3,false
23-25,true
23-27,true
23/1,true
23/10,true
23/13,true
23/15,true
23/16,true
23/18,true
23/2,true
23/24,true
23/25,true
23/2а,false
23/3,true
23/35,true
23/3а,false
23/4,true
23/4А,false
23/5,true
23/52,true
23/6,true
23/7,true
23/8,true
23/9,true
23\1,false
23\25,false
23\4,false
230,true
2304,false
230а,true
231,true
231а,true
232,true
232-234,true
232а,true
232в,true
232a,false
233,true
23333,false
233б,true
233в,true
234,true
234б,true
235,true
235в,true
235д,true
235ж,true
236,true
236б,true
236е,true
237,true
238,true
238а,true
239,true
23а,true
23б,true
23б1,false
23в,true
23г,true
23к,true
23п,true
23a,false
23f,false
24,true
24-2,true
24-32,true
24-40,true
24/1,true
24/16,true
24/17,true
24/1а,false
24/2,true
24/23,true
24/26,true
24/3,true
24/33,true
24/4,true
24/42,true
24/5,true
24/6,true
24/6а,false
24/7,true
24/8,true
24/9,true
24/93,true
24\1,false
24\2,false
24\23,false
24\26,false
240,true
240а,true
240в,true
240г,true
241,true
241/1,true
241б,true
242,true
242/2,true
242а,true
242б,true
243,true
243/1,true
243а,true
244,true
245,true
245а,true
245б,true
246,true
246а,true
247,true
2475,false
248,true
248а,true
248б,true
248г,true
249,true
249а,true
249з,true
24а,true
24б,true
24Б/22,false
24в,true
24г,true
24д,true
24д/1,true
24Д/1,false
24д/2,true
24Д/3,false
24д/3,true
24Д/4,false
24д1,false
24д2,false
24д3,false
24д4,false
24дк4,false
24к,true
24р,true
24a,false
25,true
25-1,true
25-2,true
25/1,true
25/10,true
25/11,true
25/16,true
25/19,true
25/2,true
25/21,true
25/23,true
25/27,true
25/3,true
25/37,true
25/4,true
25/49,true
25/49А,false
25/5,true
